Date,Close,High,Low,Open,Volume,MA7,MA30,Daily Change,Daily Return
6/14/2023,181.4068298,181.8407491,179.5035199,180.8348467,57462900,178.8653107,173.1769801,0.571983122,0.34913396
6/15/2023,183.4383698,183.9413285,181.2392042,181.4167234,65433200,179.8233141,173.7946966,2.021646309,1.119880612
6/16/2023,182.3634033,184.4047919,181.7223959,184.1483769,101256200,180.8235757,174.4310745,-1.7849736,-0.586009586
6/20/2023,182.4521637,183.5271055,181.8604679,181.8604679,49799100,181.449088,174.8150162,0.591695752,0.048672252
6/21/2023,181.4166718,182.8466218,180.0656024,182.3436632,49515700,181.8717324,175.1667399,-0.926991411,-0.567541608
6/22/2023,184.4146423,184.4639541,181.1306793,181.1997187,51245300,182.3239659,175.6751872,3.214923642,1.652533117
6/23/2023,184.0990753,184.9669138,182.4521655,182.9847082,53117000,182.7987366,176.1143555,1.114367115,-0.1711182
6/26/2023,182.7085724,185.4501366,182.669117,184.2470024,48088700,182.9846998,176.5009354,-1.538429969,-0.75530142
6/27/2023,185.4599915,185.7854309,183.1030348,183.3199944,50730800,183.2735029,177.0101303,2.13999706,1.505905843
6/28/2023,186.6335602,187.2745677,185.006378,185.3318024,51216800,183.8835253,177.5748795,1.301757814,0.632788083
6/29/2023,186.9688416,187.4422162,186.3278341,186.4658979,46347300,184.528765,178.1508046,0.502943636,0.179646882
6/30/2023,191.2882996,191.7912432,188.6157596,188.9806545,85213200,185.9389975,178.8503316,2.307645088,2.310255533
7/3/2023,189.7991791,191.1995453,189.1088448,191.1009218,31458200,186.7082171,179.4226415,-1.301742708,-0.778469194
7/5/2023,188.6847992,190.3119814,187.9846086,188.9214865,46920300,187.3633205,179.954189,-0.236687335,-0.587136303
7/6/2023,189.1581421,189.3652454,186.5842259,187.215377,45094300,188.2846876,180.5330729,1.942765109,0.25086435
7/7/2023,188.0437775,190.0062705,187.6098733,188.7636958,46815000,188.6537999,181.1615952,-0.719918338,-0.589117979
7/10/2023,186.0023651,187.3632907,184.454064,186.6433725,59922200,188.5636292,181.7128662,-0.641007379,-1.085604842
7/11/2023,185.4797363,186.6828706,184.020202,186.5448068,46638100,188.3508998,182.2089111,-1.065070464,-0.280979644
7/12/2023,187.1463623,189.0496721,185.8643323,187.0575952,60750200,187.7591945,182.6803024,0.088767152,0.898548817
7/13/2023,187.9057007,188.5467232,187.1562134,187.8662603,41342300,187.4886976,183.115534,0.039440363,0.405745733
7/14/2023,188.0536652,188.5368812,187.0083223,187.6000182,41616200,187.3985356,183.5573415,0.453647005,0.078744007
7/17/2023,191.3080139,191.6334533,189.1581455,189.2468976,50520200,187.7056601,184.014269,2.061116327,1.730542583
7/18/2023,191.05159,191.6433007,189.7597037,190.6768539,48288200,188.1353476,184.4343786,0.374736094,-0.134037224
7/19/2023,192.4026794,195.4893959,189.9865395,190.4303302,80507300,189.0496783,184.9445592,1.972349292,0.707185676
7/20/2023,190.4599304,193.7537504,189.8386355,192.3928245,59581200,189.7611346,185.4021454,-1.932894044,-1.009730753
7/21/2023,189.2863312,192.2744386,188.5861407,191.4164717,71951700,190.0668444,185.866304,-2.130140478,-0.616192204
7/24/2023,190.0851593,192.2153001,189.592072,190.7360382,45377800,190.3781956,186.2666901,-0.650878865,0.42202103
7/25/2023,190.9431458,191.7518163,190.2528265,190.6571617,37283200,190.7909786,186.6828562,0.28598405,0.451369509
7/26/2023,191.8109589,192.9351973,190.6472801,190.9924321,47471900,190.8628278,187.0349213,0.81852672,0.454487699
7/27/2023,190.5486603,194.473631,189.8879251,193.3099522,47460200,190.7909807,187.3606873,-2.761291931,-0.658095133
7/28/2023,193.1225891,193.9115319,191.4559515,191.9786229,48291400,190.893825,187.7512126,1.143966239,1.350798704
7/31/2023,193.734024,193.7734795,192.5604737,193.3494165,38824100,191.3615526,188.094401,0.384607545,0.316604567
8/1/2023,192.9056244,194.0101352,192.5801849,193.5269192,35175100,191.8785945,188.4458084,-0.621294846,-0.427596372
8/2/2023,189.9174957,192.4815405,189.1975925,192.3434767,50389300,191.8546426,188.6946528,-2.425980954,-1.549010648
8/3/2023,188.5269775,189.7103839,188.053618,188.9214564,61235200,191.5094757,188.931663,-0.394478829,-0.73216961
8/4/2023,179.4739227,184.7894033,179.4048833,182.9551179,115956800,189.747042,188.7669724,-3.48119517,-4.80199435
8/7/2023,176.3773193,180.5981451,174.8980576,179.6119706,97576100,187.7225647,188.5095805,-3.234651229,-1.725377897
8/8/2023,177.3141937,177.777697,175.1248849,177.2057139,67823000,185.4642225,188.3297679,0.108479806,0.531176227
8/9/2023,175.7264557,178.4285645,174.5627618,178.3693964,60378500,182.8917127,188.0053167,-2.642940725,-0.895437643
8/10/2023,175.5095062,178.2510706,175.1446264,176.9986246,54686900,180.406553,187.6345149,-1.489118326,-0.123458623
